,企業名,キャッチコピー,ステータス,初年度年収
28,大東建託株式会社 | 【プライム市場】全国募集/原則転勤なし/Web説明会実施,"【営業】年収1,000万円可能！<経験者募集/フレックスタイム制> 正社員",正社員,400万円～1000万円
29,大日本印章株式会社 | 【トップHDグループ】★オープニングスタッフ募集！博多駅前勤務,"★印章業界大手の【提案営業】*福岡限定採用！未経験OK,土日祝休 正社員",正社員,350万円～800万円
30,株式会社PGSホーム | 年収1000万超も可能｜未経験OK！月給40万円～スタート(2か月間),40代の未経験者も活躍中【＜住宅ペイント＞訪問営業】残業ほぼ０ 正社員,正社員,400万円～1000万円
31,株式会社PGSホーム | 月給40万円～スタート！入社祝金最大138万円！残業ほぼなし,【営業総合職】年収1000万超も可能！※全国募集※ 正社員,正社員,400万円～1000万円
32,株式会社テクノプロ・コンストラクション | 業界売上No.1【東証一部上場テクノプログループ】,未経験歓迎【事務スタッフ(書類作成/写真撮影等)】★土日祝休み 正社員,正社員,300万円～400万円
33,株式会社バイリンガルゲート | WEB面接可／年収1000万円可能／土日祝休み／年休125日,未経験からIT×英語×将来性で価値を磨く【コーディネーター】 正社員,正社員,400万円～1000万円
34,アウトソーシンググループ合同募集 | ★東証プライム上場グループ／地域グルメの近江牛を堪能♪,琵琶湖の夏♪【ダイハツ工業の製造スタッフ】★竜王町(株)PEO 正社員,正社員,430万円～450万円
35,株式会社メイテック | 東証プライム上場／二輪車・EV・航空宇宙など最先端・先行開発も,レーシングカーや航空機等の【機械設計】40歳平均年収712万 正社員,正社員,400万円～800万円
36,株式会社アール・ディベロップメント | 《定着率90%/有休消化率80%》立会物件の成約1件⇒インセン5万円,不動産契約を支える【営業・物件説明・引渡】残業月10h/完休2日 正社員,正社員,300万円～500万円
37,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】,ソフトバンクの【法人営業】未経験OK★高卒以上★35歳以下 正社員,正社員,
38,株式会社TERASS | 【自由な働き方】×【高収入】を実現可能！,出社義務・ノルマなしの【不動産営業】経験者募集/名古屋担当 業務委託,業務委託,100万円～2000万円
39,株式会社ビッグモーター | 未経験歓迎◆賞与年2回◆月8日以上休み◆資格手当（最大12万円）,【自動車整備士】転勤なし！地元で働けて未経験から年収1000万可 正社員,正社員,330万円～2400万円
40,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】,ソフトバンクの【法人営業】社会人経験必須◎販売/接客経験歓迎 正社員,正社員,
41,インターギアソリューション株式会社 | ★固定報酬＋高額インセン★未経験平均月収55万円★当月払い可能,【求人広告電話営業】14名中3名が年収1千万円超の実績<全国採用> 業務委託,業務委託,480万円～2000万円
42,株式会社ネクステージ | 上場企業/Audiなどの正規ディーラーを展開/営業利益前年比200%UP,輸入車正規ディーラーの【セールススタッフ】★平均年収740万 正社員,正社員,400万円～800万円
43,インターギアソリューション株式会社 | ★固定報酬×制作本数で制作担当の『月収例35～180万円』,【求人広告クリエイター(ディレクション・コピーライティング)】 業務委託,業務委託,450万円～1500万円
44,DSP株式会社 | 入社半年で月収100万円以上の社員多数/大阪府緊急雇用対策に賛同,アニメやスポーツ番組の【反響営業】完全週休2日★学歴不問！ 正社員,正社員,400万円～1000万円
45,株式会社PGSホーム | 入社祝金最大138万｜残業ほぼなし｜転勤＆休日出勤なし,【アポインター営業】リサーチャー(市場調査)★月給40万～*2カ月 正社員,正社員,400万円～1000万円
46,株式会社エスコシステムズ | ★新設部署で同期と成長！★柔軟に希望休OK ★月８日以上休み,未経験から始める【PRスタッフ】★リモートあり ★残業ほぼなし 正社員,正社員,300万円～500万円
47,株式会社ビッグモーター | 【5年連続買取台数No.1が活躍の舞台】★平均年収957万円以上,未経験から稼げる【営業】1年目で年収1000万円可能 ※45歳以下 正社員,正社員,330万円～1500万円
48,日本交通株式会社 | ★新木場営業所限定募集★入社祝い金20万円／充実の研修で安心,未経験OK！【タクシードライバー】★賞与年3回★土日休みも可能 正社員,正社員,400万円～600万円
49,株式会社エナレッジ | ＼成長企業で活躍！2022年度、心機一転チャンスを掴む！／,新体制のスターティングメンバー募集【 PRスタッフ 】※幹部候補 正社員,正社員,300万円～1000万円
50,株式会社京栄コンサルティング | 法人の採用課題を解決するベンチャー企業★年収例:780万円/26歳,人材×WEB集客！【法人営業】※未経験でも月給30万円以上を保証 正社員,正社員,360万円～550万円
51,株式会社ライジングサンセキュリティーサービス | ☆★新規事業拡大につき50名大募集★☆出張面接も行っています！,福島積極募集【警備】★月給32万~最大42万円！★女性活躍中★ 正社員,正社員,300万円～600万円
52,UTエイム株式会社 | 【プライム市場上場グループ】★WEB面接OK,コツコツ働ける♪【箱詰め・梱包スタッフ】未経験歓迎 正社員,正社員,300万円～500万円
53,株式会社トップ | 《トップHDグループ》33歳*月給例:月給29.1万円＋インセン＋賞与,広島限定★拡大中拠点で活躍！10名以上の増員募集【 提案営業 】 正社員,正社員,350万円～1000万円
54,KUROFUNE＆PARTNERS株式会社 | #飛び込み・テレアポ業務なし #スタートアップ募集 #転勤なし,【反響営業】未経験歓迎／月給30万円～／車通勤OK(社用車支給) 正社員,正社員,500万円～700万円
55,株式会社テクニケーション | 定着率97.5％／平均150万円年収UP／リモート率9割／待機者ゼロ,【ITエンジニア】リモートワーク90％超★業界TOPクラスの還元率 正社員,正社員,420万円～1200万円
56,株式会社TOP LIFE | 既存顧客対応メイン/社用車貸与/フレックスタイム制＆直行直帰OK,【提案営業】未経験でも月給30万円～／年収1000万円超の社員多数 正社員,正社員,
57,株式会社コシダカ | 【上場グループ企業】土日休みOK★月収29.5万円も目指せる！,自分らしく働こ♪ カラオケまねきねこの【店舗運営】★高卒以上 正社員,正社員,300万円～850万円
58,株式会社マリオットバケーションクラブインターナショナル | 《タイムシェアのリーディングカンパニー》＃完全週休2日制,英語力を活かせる【事務オペレーション】★旅行好き歓迎♪ 契約社員,契約社員,300万円～450万円
59,株式会社トラスト・インベストメント | ＜個人ノルマなし＞明確な評価制度◎年収1000万円以上の社員多数,未経験歓迎♪【不動産営業】★入社1年で年収850万円の社員も！ 正社員,正社員,400万円～800万円
60,株式会社マリオットバケーションクラブインターナショナル | 《タイムシェアのリーディングカンパニー》＃完全週休2日制,旅行が好きな方歓迎♪【集客営業】★1～2wの連続休暇も取得可 契約社員,契約社員,400万円～1500万円
61,"株式会社ガリレオコーポレーション | 《年収1,000万円可》「コンビニで値段を見なくなりました？！」",《余裕のある生活》にちょっと憧れませんか？【営業】 正社員,正社員,500万円～2000万円
62,株式会社コシダカ | ★月収例29万5000円！★年休110日以上★東証一部上場グループ,カラオケ好き集合♪【カラオケ店舗社員】※職歴/学歴/年齢不問 正社員,正社員,300万円～850万円
63,株式会社トップ | 《トップHDグループ》33歳*月給例:月給29.1万円＋インセン＋賞与,「新宿」限定募集★4人に1人は年収1000万円以上!!【 提案営業 】 正社員,正社員,350万円～1000万円
64,株式会社修優舘 | あなたの経験と能力を満足のいく給与に変えてみませんか？,2人に1人が年収700万円超【講師・教室運営】※完全週休2日制も可 正社員,正社員,360万円～700万円
65,株式会社カインド リフォーム | 【大阪府緊急雇用対策に賛同】住宅や家族手当も◎駅チカ好立地！,未経験歓迎!!【営業職】★スターティングメンバ―の募集！ 正社員,正社員,
66,株式会社マリオットバケーションクラブインターナショナル | 《タイムシェアのリーディングカンパニー》＃完全週休2日制,高級リゾートを提案する【提案営業／フォロー営業】★100％反響 契約社員,契約社員,400万円～1500万円
67,株式会社フロンティアホールディングス | 働きがいのある会社ランキング選出/28歳で年収1500万円の先輩も,100％反響型の【不動産営業】★賞与1回で360万の実績あり！ 正社員,正社員,500万円～1000万円
68,株式会社コシダカ | 【上場グループ企業】スピード昇格可★土日休みOK★年2回5連休,月30万を目指せる【カラオケ店員(店長候補)】*39歳以下/学歴不問 正社員,正社員,300万円～850万円
69,日研トータルソーシング株式会社 | WEB面接1回で内定可能◆年休最大160日◆家具・家電付社員寮完備,未経験入社90％★100年先もなくならない【設備保守・保全】 正社員,正社員,
70,株式会社ライズイノベーター | 完全週休2日/土日祝休/面接1回(WEB可)/教育補助金年間20万円,"前職より必ず""増給""！【ITエンジニア】年休134日/女性活躍中♪ 正社員",正社員,420万円～1000万円
71,下田工業茨木株式会社 | オープニング募集／残業月10h【大阪府緊急雇用対策に賛同】,コロナでもニーズ増！食品トレイの【製造スタッフ】未経験OK 正社員,正社員,230万円～400万円
72,株式会社コシダカ | 【上場グループ企業】月収例29.5万円★月8~10日休★年2回5連休！,まねきねこの【カラオケ店舗社員(店長候補)】*高卒以上/年齢不問 正社員,正社員,300万円～850万円
73,新日本住設EAST株式会社 | 【7年連続140％売上UP】★年収1000万円以上も可★9割未経験入社,【ルート営業】★契約1件毎にインセン支給★残業月平均10h以内 正社員,正社員,300万円～600万円
74,UTコンストラクション株式会社 | プライム市場UTグループ★大手グループの安定基盤★土日祝休み,☆未経験歓迎☆【総合職(管理・資料作成等)】★残業月平均17時間 正社員,正社員,350万円～650万円
75,サステナブルエナジー株式会社 | ★年間休日120日以上★残業月20h以下★賞与年3回★WEB面接可,資格を活かして地球環境に貢献【重機オペレーター】★土日祝休み 正社員,正社員,380万円～630万円
76,大東建託株式会社 | 【U/Iターン支援あり】未経験スタート9割／フレックス制,プライム市場で活躍！【営業】★転勤なし★未経験歓迎★東北募集 正社員,正社員,400万円～1000万円
77,株式会社ビッグモーター | 【業界屈指のインセンティブ制度】◎年収1000万円も可能,未経験＆知識がなくても活躍できる！【営業】※社会人経験者募集 正社員,正社員,330万円～1500万円
78,大東建託株式会社 | 【プライム市場】中途入社は9割が未経験スタート／原則転勤なし,平均年収850万円超！【営業】★未経験OK★フレックス★関東募集 正社員,正社員,400万円～1000万円
79,株式会社ミュゼプラチナム | 人と話すことが好きな方大歓迎♪／未経験OK／WEB面接1回,美容脱毛0円♪【受付カウンセラー】*高卒以上 *社会人経験者募集 正社員,正社員,350万円～450万円
80,大東建託株式会社 | 【プライム市場】中途入社は9割が未経験スタート／原則転勤なし,20～50代まで幅広く活躍中！【営業】★未経験歓迎★関西募集 正社員,正社員,400万円～1000万円
81,大東建託株式会社 | 【プライム市場】中途入社は9割が未経験スタート／原則転勤なし,未経験歓迎！【営業】★U/Iターン支援有★フレックス★東海募集 正社員,正社員,400万円～1000万円
82,株式会社優誠 | 【大阪府緊急雇用対策に賛同】ノルマなし＆成約率は50％以上！,【営業スタッフ】未経験OK／月収100万円超も可能／基本土日休み 正社員,正社員,
83,泉北ホーム株式会社 | 最高実績を今年も更新｜100％反響型提案｜平均年収700～800万円,年収1000万円も可能な【営業スタッフ】※テレアポ＆飛び込みなし 正社員,正社員,450万円～800万円
84,株式会社ヤマダデンキ | ★東証一部上場グループ企業で安定収入＆完全週休2日制を実現,賞与4.9ヶ月実績【ファイナンシャルプランナー】手に職をつける 正社員,正社員,400万円～2000万円
85,株式会社ロジカル | ★手当充実 ★時間ごとの有給取得も可 ★転勤なし ★未経験歓迎,働きやすさも魅力！パルシステム（生協）の【ルートサービス】 正社員,正社員,350万円～450万円
86,エフエルシープレミアム株式会社 | 【大阪府緊急雇用対策に賛同】東証スタンダード上場企業グループ,業界シェアNO.1 【営業系総合職】未経験可/全員面接★社員寮完備 正社員,正社員,400万円～1000万円
87,株式会社クラシアン | 【転勤なし】日本全国に展開中！好きな街で働ける！◆月9日休み,きちんと稼げる【メンテナンススタッフ】※高い技術が身につく！ 正社員,正社員,400万円～600万円
88,株式会社クラシアン | 景気に左右されない安定企業★毎年依頼件数が増加中！,未経験でも月収30万円可【営業】★残業代100%＆歩合給＆手当あり 正社員,正社員,400万円～600万円
89,株式会社ロジカル | 手当充実 ★残業少なめ定時退社可能★転勤なし ★未経験大歓迎,"""パルシステム""の【ルートセールス】月給27.5万円～★完週休2日 正社員",正社員,350万円～450万円
90,株式会社 One's Will | ★未経験1年目平均年収450万円以上★完全週休2日★残業ほぼなし,アニメ・映画・スポーツなど人気番組の【反響営業】★履歴書不要 正社員,正社員,300万円～700万円
91,株式会社クラシアン | 月9日休み★日本全国に展開中！好きな街で働ける,大手企業で、安定のキャリアを！【サービススタッフ】★未経験OK 正社員,正社員,400万円～600万円
92,新日本ハウス株式会社 | 《1年目年収800万の実績あり》電話問い合わせもOK：0120-40-4447,40～50代活躍中★見込み客開拓【リフォーム案内スタッフ】 正社員,正社員,400万円～800万円
93,株式会社ビッグモーター | 業界No.1企業の安定性／面接1回／転勤なし／連休OK！,【登録事務スタッフ】☆未経験歓迎☆基本定時退社☆土日休み 正社員,正社員,300万円～550万円
94,日本交通株式会社 | 【業界売上高11年連続NO.1(※)】★会社説明会も随時開催★,【VIP・役員専属運転手】★75％以上が年収500万円以上★土日休可 正社員,正社員,400万円～800万円
95,株式会社クラシアン | 転勤なし★景気に左右されず依頼件数が増加中！,CMでもお馴染み！社員のくらしも安心♪【業務スタッフ】未経験OK 正社員,正社員,400万円～600万円
96,小田急交通株式会社 | ＼5月14日（土）マイナビ転職フェア【新宿】に出展します！／,小田急グループで安心のスタートを【タクシー乗務員】 正社員,正社員,
97,株式会社よかタウン | #東証プライムグループ #年収1000万円以上も可能 #年間休日115日,【 営業 】★賞与年2回＋決算賞与 ★早期キャリアアップを実現 正社員,正社員,
98,株式会社丸亀製麺 | コロナ禍でも売上UP！今年も利益還元のインセンティブを支給★,お客様に特盛の喜びを！大好きな街でキャリアアップ可能【店長】 正社員,正社員,360万円～480万円
99,Carpe diem株式会社 | 社員全員がエンジニア*年休125日以上*退職金制度*残業月平均10h,案件も働き方も、ワガママ聞きます【ITエンジニア】*フル在宅7割 正社員,正社員,300万円～800万円
100,株式会社エージェントゲート | ビッグプロジェクトにも参画！大手プライム多数/前給最大限考慮,年収900万～可！数十名以上を管理する規模多数【PL・PM】 正社員,正社員,264万円～600万円
101,クリーンデバイス・テクノロジー株式会社,カーエアコンクリーニング「空気の洗車屋さん」【FCオーナー】 FCオーナー,FCオーナー,
102,株式会社エージェントゲート | 化粧品メーカー等と取引/産育休取得＆復帰100％/残業基本なし,未経験OK★希望の働き方に変えよう*年休130日【ITヘルプデスク】 正社員,正社員,264万円～600万円
103,東京エムケイ株式会社 | ▼稼ぎたい方必見▼ハイヤー月収実績73.9万円※2021年12月度支給,【高級車ハイヤーのドライバー】★研修3ヶ月で計100万円の保証給 正社員,正社員,450万円～550万円
104,株式会社エージェントゲート | 大手プライム多数/前職最大限保証/定着率94％/年休130日,【SE・PG】還元率最大75%！常時1600件！※学歴不問 正社員,正社員,264万円～600万円
105,HITOWAライフパートナー株式会社 | 全国募集★自宅開業OK★転勤なし◎未経験歓迎！学歴・スキル不問,面談確約【店舗経営】研修制度◎高収入を目指せる！選べる勤務地 FCオーナー,FCオーナー,
106,株式会社エージェントゲート　 | WOMAN's VALUE AWARD/残業基本なし/リモート勤務も実施中,年休130日！IT業界・事務未経験OK！安定の手に職を【IT事務】 正社員,正社員,264万円～600万円
107,株式会社平和地建 | 人々の暮らしに笑顔を増やす。なくてはならない企業となるために,不動産を通して、驚きと感動を生む。【反響営業】※未経験OK 正社員,正社員,
108,住友不動産株式会社 | 【東証プライム上場】★転勤なし ★3割が年収800万円以上！,未経験から家づくりのプロに！【注文住宅営業】平均年収817万円 正社員,正社員,
109,日本管理センター株式会社 | 東証プライム上場／20期連続で増収／1300社超の提携パートナー,「三方良し」のサブリースを提案する【コンサルティング営業】 正社員,正社員,400万円～700万円
110,株式会社アイタン | ★創業から21年連続売上UP★賞与年2回＋臨時賞与（4年連続支給）,消防設備の【法定点検スタッフ】月給30万円以上／未経験歓迎☆ 正社員,正社員,
111,株式会社三和交通統轄本部 | 二種免費用会社負担/最大37万給与保障(※規定有)/社歴30年超多数,＼終身雇用宣言！年齢不問！／【総合職】東京/神奈川/埼玉募集 正社員,正社員,300万円～1000万円
112,株式会社FGGコーポレーション | 【ノルマなし・未経験OK】オーナー様のお悩みを二人三脚で解決！,100%反響の【不動産営業】月給最大30万★残業20h/完全週休2日◎ 正社員,正社員,300万円～1000万円
113,株式会社SORI | 【地域の道路インフラを支える企業】※年収1000万円も目指せます,【総合職(施工管理／重機オペ／ドライバー)】公共事業中心で安定 正社員,正社員,400万円～1000万円
114,"東京エムケイ株式会社 | 勤務日数が自分で選べる⇒""あなたのペース""で仕事ができます！",【グランドパイロット】★有給取得率80％超 ★男性育休実績あり 正社員,正社員,450万円～550万円
115,株式会社マックスガイ | ＜無理なく勤務できる／性別や年齢に関係なくスタートしやすい＞,100％反響で、寄り添える【営業】*ノルマなし *未経験の方歓迎 正社員,正社員,300万円～600万円
116,ラーニンギフト株式会社 | エンジニアの『基地』を開発する会社│手当・インセンティブ充実,【インフラエンジニア】案件選択可／昇給有／年休130日／残業少 正社員,正社員,400万円～1000万円
117,GranElite株式会社 | 《未経験から鑑定士へ》半年で月給35万円～の鑑定士も輩出中★,【査定スタッフ/バイヤー】未経験でも入社初年度平均月給30万円 正社員,正社員,380万円～550万円
118,SQUARE株式会社 | ★未経験積極採用★完休2日★賞与年4回★毎月インセン支給★,【提案営業】お客様の94％が“1割以上”のコスト削減を実現◎ 正社員,正社員,350万円～650万円
119,株式会社ジーアフター | 輸入車・国産車の買取、販売◇売上前年比130%成長で不況知らず！,車販売の【営業・店舗運営】未経験者も月給30万以上でスタート！ 正社員,正社員,400万円～650万円
120,株式会社むすび | 20代~30代活躍中！｜新店舗続々OPEN★｜サポート体制/福利厚生◎,【買取・販売スタッフ】未経験歓迎！月給100万円も夢じゃない！ 正社員,正社員,450万円～900万円
121,株式会社Ａｚ　Ｏｎｅ | 在宅ワークも可能／完全土日祝休み【大阪府緊急雇用対策に賛同】,あなたのやりたいを叶える転職！【SE／PG】還元率80%以上！ 正社員,正社員,450万円～900万円
122,株式会社あひるコンサルティング | 業界未経験者も活躍できる、残業も少なめで働きやすい環境です,"人気住宅ローン""フラット35""の【 ルート営業 】高収入も目指せる 正社員",正社員,400万円～1200万円
123,東京・日本交通株式会社 | 売上業界No.1 日本交通グループ【大阪府緊急雇用対策に賛同】,未経験OK【タクシードライバー】ミドルシニアも活躍中／関西募集 正社員,正社員,350万円～650万円
124,フロンティア株式会社 | 業界No.1実績！広瀬アリスさんがアンバサダー就任★奨学金補助有,【企画プランナー】＊未経験入社78％！20代女性が多数活躍中！ 正社員,正社員,300万円～550万円
125,株式会社センス | 時代を先どりした福利厚生☆未経験スタート歓迎☆年収1000万多数,U-35全員面接【営業系総合職】週休3日/5連休など柔軟な働き方も 正社員,正社員,400万円～1000万円
126,星野建設株式会社 | ★残業月平均30時間以内★賞与年2回★土日休み★資格取得支援◎,未経験歓迎【リフォームの企画・現場管理】★月給30万円スタート 正社員,正社員,400万円～600万円
127,株式会社クリア | ◆早期キャリアアップ可能／未経験OK／学歴不問／インセン有り,未経験歓迎！就職したい脱毛サロンNo.1【エステティシャン】 正社員,正社員,280万円～350万円
128,株式会社クリア | ◆早期キャリアアップ可能／未経験OK／学歴不問／インセン有り,【受付サロンスタッフ】★未経験歓迎／学歴不問 正社員,正社員,280万円～350万円
129,東京・日本交通株式会社 | 売上業界No.1グループ｜大阪府緊急雇用対策に賛同,小さなお客さまの安全を守る【キッズドライバー候補】隔日勤務 正社員,正社員,350万円～650万円
130,アップライブステージ株式会社 | テレワークの普及に伴い売上も2倍◎実績給で最高70万円支給有,【ライブ配信コーディネーター】★タレント発掘＆育成★高卒以上 正社員,正社員,300万円～600万円
131,日研トータルソーシング株式会社 | ◆年休最大160日◆残業ほぼなし◆未経験大歓迎◆社宅費補助あり,"面接1回★簡単な【製造・倉庫作業】★選べる勤務地全国7,000件！ 正社員",正社員,
132,株式会社アール・エム | 【大阪府緊急雇用対策に賛同】35歳以下の方は全員面接します！,年収1000万超を目指せ！急成長企業の【WEBコンサルタント】 正社員,正社員,400万円～700万円
133,住友不動産株式会社 | 【東証プライム上場】★転勤なし★東京の平均年収817万円,営業経験者募集！【注文住宅営業】3割が年収800万円以上 正社員,正社員,
134,株式会社A’s | ★年間休日120日★完全週休2日制（土日祝）★月給25万円以上★,完全未経験から急成長できる！【求人広告営業】年休120日 正社員,正社員,350万円～600万円
135,大和総合住設株式会社 | ★賞与年4回支給★ 月収200万円以上も目指せます！,完全週休2日制&朝はゆっくり13時出社♪【 提案営業 】※沖縄勤務 正社員,正社員,350万円～800万円
136,株式会社チャージ | ＜大阪・名古屋・栄＞各地駅近！未経験歓迎／残業月平均20Hほど,【人材コーディネーター】★毎月固定給＋歩合給で収入UP！ 正社員,正社員,300万円～550万円
137,UTエイム株式会社 | 【超スピード選考】最短当日面談＆当日採用(規定有)！,【サポートスタッフ(データ管理等)】未経験歓迎※月収42万円も可 正社員,正社員,300万円～500万円
138,"日研トータルソーシング株式会社 | ≪1年目で年収500万以上目指せる≫半年ごと5,000円の昇給あり★",入社特典60万円&寮無料★トヨタ車の【製造サポート】 正社員,正社員,
139,株式会社来来亭 | 好きな場所で年収1000万円超の店長へ｜20～30代活躍中,【店長候補】前職より給与UPした先輩多数／”無料”の寮完備 正社員,正社員,350万円～850万円
140,株式会社真心 | 全国240店舗！ラーメン来来亭を展開｜正社員＆充実の福利厚生,未経験でも月給28万円～【 幹部候補 】店長は月給50万以上も可！ 正社員,正社員,
141,株式会社アイビス | ★設立以来業績UP！自社開発のシステムを展開★健康経営優良法人,未経験OK！WEB広告・システムの【提案営業】年間休日125日以上 正社員,正社員,
142,株式会社アイダ設計 | 1都2府21県へエリア拡大中／テレビ・ラジオCMでもお馴染みの企業,家づくりを一緒に楽しむ【反響営業】営業経験者優遇/20代活躍中 正社員,正社員,
143,UTコンストラクション株式会社 | 【プライム市場・業界大手のUTグループ企業】★基本土日祝休,未経験歓迎！街づくりの【企画補助スタッフ】★平均月収29.2万円 正社員,正社員,300万円～650万円
144,株式会社ゴールドファステート | 【CMでも話題の成長企業！】【大阪府緊急雇用対策に賛同】,★スターティングメンバー募集★【営業】※HPからの反響営業 正社員,正社員,600万円～2000万円
145,株式会社アミ―クス | 『トータルリペア』オーナー募集,リペア職人として1人で独立！トータルリペアの【FCオーナー】 FCオーナー,FCオーナー,
146,株式会社アイダ設計 | 1都2府21県へエリア拡大中／テレビ・ラジオCMでもお馴染みの企業,完全週休2日★注文住宅の【建築設計】※早期の昇格も現実的！ 正社員,正社員,350万円～750万円
